Line ID,Item,Item Code,Size,Category,Date,Time,Day of Week,Hour,Order Date,Qty,Item Price,Item Tax,Discount,Order #,Invoice #,Order Type,Table #,Payment Type,Order Subtotal,Order Tax,Order Tips,Order Total,Order Employee,Payment Employee
1,Steak & Brisket,02,Small,pho,2026-06-03,10:17:05,Wednesday,10,6/03/2026 10:17 AM,1,14.99,1.53,0.00,1,185255,TABLE,A2,Credit Card,27.98,2.85,2.00,32.83,Cashier,Cashier
2,NO MEAT PHO LARGE,,,pho,2026-06-03,10:17:05,Wednesday,10,6/03/2026 10:17 AM,1,12.99,1.32,0.00,1,185255,TABLE,A2,Credit Card,27.98,2.85,2.00,32.83,Cashier,Cashier
3,Kid's Meal,19,,Kid's Meal,2026-06-03,10:19:52,Wednesday,10,6/03/2026 10:19 AM,1,10.99,1.12,0.00,2,185256,QUICK ORDER,,Credit Card,40.97,4.18,0.00,45.15,Cashier,Cashier
4,Brisket,20,Small,pho,2026-06-03,10:19:52,Wednesday,10,6/03/2026 10:19 AM,1,14.99,1.53,0.00,2,185256,QUICK ORDER,,Credit Card,40.97,4.18,0.00,45.15,Cashier,Cashier
5,Chicken,G-1,,Grilled & Wok,2026-06-03,10:19:52,Wednesday,10,6/03/2026 10:19 AM,1,14.49,1.48,0.00,2,185256,QUICK ORDER,,Credit Card,40.97,4.18,0.00,45.15,Cashier,Cashier
6,TOGO,,,TOGO,2026-06-03,10:19:52,Wednesday,10,6/03/2026 10:19 AM,1,0.50,0.05,0.00,2,185256,QUICK ORDER,,Credit Card,40.97,4.18,0.00,45.15,Cashier,Cashier
7,Chicken Fried Rice,F1,,Fried Rice,2026-06-03,10:58:28,Wednesday,10,6/03/2026 10:58 AM,1,15.49,1.58,0.00,3,185257,TABLE,C1,Credit Card,15.49,1.58,2.56,19.63,Cashier,Cashier
8,Spring Roll,30,,Appetizer,2026-06-03,11:15:26,Wednesday,11,6/03/2026 11:15 AM,1,3.25,0.33,0.00,8,185258,TABLE,A3,Cash,3.25,0.33,0.00,3.58,Cashier,Cashier
9,BBQ Pork Spring Roll,A7,,Appetizer,2026-06-03,11:20:29,Wednesday,11,6/03/2026 11:20 AM,1,4.99,0.51,0.00,7,185259,TO GO,,Credit Card,29.72,3.03,6.55,39.30,Cashier,Cashier
10,Spring Roll,30,,Appetizer,2026-06-03,11:20:29,Wednesday,11,6/03/2026 11:20 AM,1,3.25,0.33,0.00,7,185259,TO GO,,Credit Card,29.72,3.03,6.55,39.30,Cashier,Cashier
11,Coffee,,,Bubble Juice,2026-06-03,11:20:29,Wednesday,11,6/03/2026 11:20 AM,1,5.99,0.61,0.00,7,185259,TO GO,,Credit Card,29.72,3.03,6.55,39.30,Cashier,Cashier
12,Steak,01,Small,pho,2026-06-03,11:20:29,Wednesday,11,6/03/2026 11:20 AM,1,14.99,1.53,0.00,7,185259,TO GO,,Credit Card,29.72,3.03,6.55,39.30,Cashier,Cashier
13,TOGO,,,TOGO,2026-06-03,11:20:29,Wednesday,11,6/03/2026 11:20 AM,1,0.50,0.05,0.00,7,185259,TO GO,,Credit Card,29.72,3.03,6.55,39.30,Cashier,Cashier
14,Chicken,18,Large,pho,2026-06-03,11:28:11,Wednesday,11,6/03/2026 11:28 AM,1,15.99,1.63,0.00,10,185260,TO GO,,Credit Card,15.99,1.63,2.64,20.26,Cashier,Cashier
15,Spring Roll,30,,Appetizer,2026-06-03,11:29:49,Wednesday,11,6/03/2026 11:29 AM,1,3.25,0.33,0.00,5,185261,TABLE,C4,Credit Card,22.52,2.30,3.72,28.54,Cashier,Cashier
16,Sweet Beef,B6,,French Bread,2026-06-03,11:29:49,Wednesday,11,6/03/2026 11:29 AM,1,9.99,1.02,0.00,5,185261,TABLE,C4,Credit Card,22.52,2.30,3.72,28.54,Cashier,Cashier
17,Dr Pepper,,,Coffee & Drinks,2026-06-03,11:29:49,Wednesday,11,6/03/2026 11:29 AM,1,3.29,0.34,0.00,5,185261,TABLE,C4,Credit Card,22.52,2.30,3.72,28.54,Cashier,Cashier
18,Thai Tea,75,,Coffee & Drinks,2026-06-03,11:29:49,Wednesday,11,6/03/2026 11:29 AM,1,5.99,0.61,0.00,5,185261,TABLE,C4,Credit Card,22.52,2.30,3.72,28.54,Cashier,Cashier
19,Seafood,33,,pho,2026-06-03,11:42:48,Wednesday,11,6/03/2026 11:42 AM,1,17.49,1.78,0.00,11,185262,TO GO,,Cash,32.48,3.31,0.00,35.79,Cashier,Cashier
